Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
45142500,-0.65,12.68,138.1,26.67,403.5,426.5,71.1
45144000,-0.65,12.65,138.5,26.69,404.3,427.3,71.1
45145500,-0.65,12.64,139.1,26.58,404.1,427.4,71.0
45147000,-0.65,12.69,138.2,26.57,402.8,425.9,71.1
45148500,-0.65,12.66,137.5,26.89,404.7,427.4,71.2
45150000,-0.65,12.67,137.3,26.90,404.5,427.1,71.2
45151500,-0.65,12.60,139.0,26.82,405.9,429.0,71.1
45153000,-0.65,12.63,138.5,26.76,404.9,427.9,71.1
45154500,-0.65,12.68,138.2,26.64,403.4,426.4,71.1
45156000,-0.65,12.68,138.4,26.57,403.1,426.2,71.1
45157500,-0.65,12.66,137.9,26.79,404.3,427.2,71.2
45159000,-0.65,12.63,138.6,26.79,405.2,428.2,71.1
45160500,-0.65,12.64,139.1,26.58,404.0,427.3,71.0
45162000,-0.65,12.61,139.3,26.69,405.3,428.5,71.0
45163500,-0.65,12.63,138.7,26.74,405.0,428.1,71.1
45165000,-0.65,12.64,138.7,26.70,404.6,427.7,71.1
45166500,-0.66,12.62,139.9,26.49,404.3,427.8,70.9
45168000,-0.65,12.65,138.7,26.66,404.2,427.3,71.1
45169500,-0.66,12.62,139.9,26.53,404.6,428.1,70.9
45171000,-0.65,12.63,139.0,26.67,404.7,427.9,71.0
45172500,-0.65,12.60,138.8,26.86,406.1,429.1,71.1
45174000,-0.64,12.63,137.7,26.97,405.6,428.3,71.2
45175500,-0.65,12.61,139.2,26.71,405.3,428.5,71.0
45177000,-0.65,12.61,139.0,26.78,405.6,428.8,71.1
45178500,-0.65,12.58,140.1,26.63,405.8,429.4,70.9
45180000,-0.66,12.61,140.2,26.51,404.8,428.4,70.9
45181500,-0.65,12.57,139.8,26.77,406.7,430.1,71.0
45183000,-0.65,12.56,139.6,26.84,406.9,430.2,71.1
45184500,-0.65,12.58,140.2,26.64,406.0,429.5,71.0
45186000,-0.64,12.58,138.5,27.03,407.1,430.0,71.2
45187500,-0.65,12.58,140.2,26.62,405.9,429.4,70.9
45189000,-0.65,12.52,140.3,26.87,408.1,431.5,71.0
45190500,-0.65,12.56,140.3,26.69,406.6,430.1,71.0
45192000,-0.65,12.57,139.5,26.85,407.0,430.2,71.1
45193500,-0.65,12.55,140.9,26.60,406.6,430.3,70.9
45195000,-0.65,12.54,139.8,26.92,407.9,431.2,71.1
45196500,-0.65,12.55,139.7,26.89,407.4,430.7,71.1
45198000,-0.65,12.55,140.6,26.68,406.9,430.5,70.9
45199500,-0.65,12.51,140.6,26.84,408.3,431.8,71.0
45201000,-0.64,12.47,140.4,27.11,410.2,433.6,71.1
45202500,-0.65,12.50,141.0,26.82,408.6,432.3,71.0
45204000,-0.65,12.53,141.1,26.62,407.0,430.8,70.9
45205500,-0.65,12.49,141.1,26.81,408.7,432.4,70.9
45207000,-0.64,12.52,139.8,27.00,408.7,431.9,71.1
45208500,-0.64,12.50,140.0,27.05,409.3,432.6,71.1
45210000,-0.65,12.47,142.2,26.68,408.9,432.9,70.8
45211500,-0.65,12.50,141.6,26.68,408.2,432.0,70.9
45213000,-0.65,12.50,140.9,26.84,408.6,432.2,71.0
45214500,-0.64,12.47,140.8,27.01,410.0,433.5,71.0
45216000,-0.65,12.48,141.3,26.81,408.9,432.6,70.9
45217500,-0.64,12.49,139.8,27.14,409.8,433.0,71.2
45219000,-0.65,12.49,140.7,26.94,409.3,432.8,71.0
45220500,-0.65,12.48,141.0,26.91,409.4,433.0,71.0
45222000,-0.65,12.46,141.7,26.83,409.6,433.4,70.9
45223500,-0.64,12.43,141.2,27.09,411.3,434.8,71.0
45225000,-0.65,12.45,141.6,26.93,410.3,434.1,71.0
45226500,-0.64,12.43,141.8,26.95,410.7,434.5,71.0
45228000,-0.65,12.42,142.5,26.84,410.7,434.7,70.9
45229500,-0.64,12.47,141.0,26.96,409.9,433.4,71.0
45231000,-0.65,12.40,143.5,26.70,410.8,435.2,70.7
45232500,-0.65,12.40,143.2,26.74,410.8,435.1,70.8
45234000,-0.64,12.46,140.5,27.14,410.7,434.0,71.1
45235500,-0.65,12.46,141.9,26.78,409.4,433.3,70.9
45237000,-0.64,12.43,141.7,27.00,411.1,434.8,71.0
45238500,-0.64,12.38,141.9,27.17,412.8,436.5,71.0
45240000,-0.65,12.37,143.7,26.77,411.7,436.0,70.8
45241500,-0.65,12.39,142.9,26.90,411.7,435.8,70.9
45243000,-0.64,12.40,141.9,27.11,412.2,436.0,71.0
45244500,-0.64,12.37,142.9,26.98,412.4,436.5,70.9
45246000,-0.64,12.40,141.9,27.10,412.1,435.8,71.0
45247500,-0.64,12.35,142.9,27.08,413.4,437.4,70.9
45249000,-0.64,12.40,142.2,27.04,412.0,435.9,71.0
45250500,-0.64,12.33,143.4,27.05,413.7,437.8,70.9
45252000,-0.64,12.36,143.1,27.00,412.9,437.0,70.9
45253500,-0.65,12.37,143.3,26.90,412.2,436.4,70.8
45255000,-0.64,12.36,142.7,27.10,413.3,437.2,70.9
45256500,-0.64,12.34,142.8,27.16,413.9,437.9,71.0
45258000,-0.64,12.36,142.8,27.04,412.9,436.9,70.9
45259500,-0.64,12.37,142.9,26.99,412.6,436.6,70.9
45261000,-0.64,12.32,143.5,27.11,414.4,438.5,70.9
45262500,-0.64,12.32,143.7,27.02,413.8,438.1,70.8
45264000,-0.65,12.32,144.3,26.87,413.4,437.9,70.8
45265500,-0.64,12.35,142.7,27.12,413.4,437.3,71.0
45267000,-0.64,12.34,142.6,27.21,414.0,437.9,71.0
45268500,-0.64,12.33,143.6,27.02,413.7,437.9,70.9
45270000,-0.64,12.29,144.7,26.97,414.6,439.1,70.8
45271500,-0.64,12.28,143.4,27.29,415.8,439.8,71.0
45273000,-0.64,12.34,143.4,27.02,413.4,437.5,70.9
45274500,-0.64,12.29,144.4,27.01,414.7,439.1,70.8
45276000,-0.65,12.30,144.8,26.88,414.0,438.6,70.7
45277500,-0.63,12.27,143.2,27.43,416.7,440.6,71.0
45279000,-0.64,12.30,143.6,27.18,415.1,439.2,70.9
45280500,-0.64,12.30,142.7,27.36,415.5,439.4,71.0
45282000,-0.64,12.25,144.7,27.17,416.4,440.8,70.8
45283500,-0.64,12.26,144.2,27.25,416.5,440.7,70.9
45285000,-0.64,12.26,144.6,27.15,416.1,440.5,70.8
45286500,-0.64,12.26,143.8,27.33,416.6,440.7,71.0
45288000,-0.64,12.22,145.7,27.07,416.8,441.5,70.7
45289500,-0.64,12.23,145.3,27.12,416.8,441.4,70.8
45291000,-0.64,12.21,145.7,27.12,417.3,442.0,70.8
45292500,-0.64,12.25,144.8,27.13,416.1,440.6,70.8
45294000,-0.64,12.23,144.9,27.22,417.1,441.6,70.8
45295500,-0.64,12.21,145.3,27.22,417.6,442.1,70.8
45297000,-0.64,12.20,145.6,27.20,417.9,442.5,70.8
45298500,-0.64,12.24,145.4,27.04,416.2,440.9,70.7
45300000,-0.63,12.21,144.5,27.37,417.9,442.2,70.9
45301500,-0.64,12.22,145.9,27.00,416.4,441.3,70.7
45303000,-0.64,12.18,145.8,27.25,418.6,443.2,70.8
45304500,-0.63,12.17,145.0,27.49,419.6,443.9,70.9
45306000,-0.63,12.21,143.7,27.57,418.6,442.6,71.0
45307500,-0.64,12.17,146.1,27.22,418.6,443.3,70.8
45309000,-0.64,12.20,145.5,27.22,417.9,442.5,70.8
45310500,-0.64,12.14,146.9,27.16,419.2,444.2,70.7
45312000,-0.64,12.16,146.6,27.13,418.5,443.5,70.7
45313500,-0.64,12.14,146.6,27.28,419.8,444.6,70.7
45315000,-0.64,12.19,145.9,27.14,417.8,442.5,70.7
45316500,-0.64,12.15,145.9,27.36,419.6,444.2,70.8
45318000,-0.64,12.17,146.2,27.21,418.7,443.5,70.8
45319500,-0.64,12.17,145.8,27.29,418.9,443.6,70.8
45321000,-0.63,12.21,144.6,27.38,418.2,442.5,70.9
45322500,-0.64,12.17,146.0,27.22,418.6,443.3,70.8
45324000,-0.64,12.14,146.3,27.35,420.0,444.7,70.8
45325500,-0.64,12.13,147.3,27.17,419.7,444.8,70.7
45327000,-0.64,12.17,146.2,27.19,418.5,443.3,70.7
45328500,-0.64,12.16,146.6,27.17,418.9,443.8,70.7
45330000,-0.64,12.14,146.1,27.36,419.9,444.5,70.8
45331500,-0.64,12.06,148.1,27.32,422.1,447.4,70.7
45333000,-0.63,12.16,145.6,27.41,419.7,444.2,70.9
45334500,-0.64,12.09,147.2,27.36,421.3,446.3,70.7
45336000,-0.63,12.11,146.8,27.38,420.9,445.8,70.8
45337500,-0.64,12.10,147.1,27.35,421.1,446.0,70.7
45339000,-0.63,12.09,145.8,27.68,422.3,446.7,71.0
45340500,-0.64,12.08,148.2,27.18,421.0,446.3,70.6
45342000,-0.64,12.11,147.3,27.26,420.5,445.6,70.7
45343500,-0.63,12.07,146.7,27.61,422.8,447.5,70.9
45345000,-0.64,12.05,149.1,27.11,421.5,447.1,70.5
45346500,-0.63,12.07,146.5,27.64,422.7,447.4,70.9
45348000,-0.64,12.05,148.4,27.28,422.2,447.5,70.6
45349500,-0.64,12.05,148.2,27.36,422.5,447.7,70.7
45351000,-0.63,12.01,148.6,27.47,424.0,449.3,70.7
45352500,-0.63,12.07,147.5,27.40,422.0,447.1,70.7
45354000,-0.63,12.07,146.8,27.56,422.5,447.2,70.8
45355500,-0.63,12.06,147.7,27.40,422.3,447.3,70.7
45357000,-0.63,12.01,147.6,27.67,424.5,449.4,70.8
45358500,-0.64,12.04,148.7,27.28,422.4,447.8,70.6
45360000,-0.63,12.00,148.2,27.58,424.5,449.7,70.8
45361500,-0.63,11.98,148.5,27.62,425.2,450.4,70.7
45363000,-0.63,12.01,149.0,27.37,423.7,449.2,70.6
45364500,-0.63,12.04,148.1,27.41,422.8,448.0,70.7
45366000,-0.63,12.01,147.4,27.76,425.0,449.8,70.9
45367500,-0.64,11.97,150.1,27.28,424.3,450.0,70.5
45369000,-0.63,12.01,148.4,27.49,423.9,449.1,70.7
45370500,-0.63,12.00,148.8,27.44,424.0,449.3,70.7
45372000,-0.63,11.99,148.6,27.56,424.8,450.0,70.7
45373500,-0.64,12.00,149.3,27.36,424.0,449.5,70.6
45375000,-0.63,11.97,149.0,27.57,425.5,450.8,70.7
45376500,-0.63,11.97,149.5,27.46,425.1,450.6,70.6
45378000,-0.63,11.98,148.3,27.69,425.6,450.7,70.8
45379500,-0.63,11.95,150.0,27.47,425.7,451.4,70.6
45381000,-0.63,11.99,148.7,27.52,424.6,449.9,70.7
45382500,-0.63,11.96,149.9,27.39,425.0,450.7,70.6
45384000,-0.63,11.93,149.7,27.61,426.6,452.1,70.7
45385500,-0.63,11.95,149.7,27.49,425.6,451.2,70.6
45387000,-0.63,11.92,149.6,27.66,427.0,452.4,70.7
45388500,-0.63,11.92,150.5,27.46,426.3,452.1,70.6
45390000,-0.63,11.92,150.9,27.40,426.3,452.2,70.5
45391500,-0.63,11.95,149.9,27.48,425.7,451.3,70.6
45393000,-0.63,11.90,151.2,27.40,426.7,452.7,70.5
45394500,-0.64,11.95,150.7,27.29,425.1,451.0,70.5
45396000,-0.62,11.87,149.7,27.90,429.2,454.5,70.8
45397500,-0.63,11.87,151.5,27.51,428.1,454.1,70.5
45399000,-0.64,11.96,150.2,27.31,424.7,450.5,70.5
45400500,-0.63,11.89,151.4,27.44,427.3,453.3,70.5
45402000,-0.63,11.94,149.5,27.63,426.5,452.0,70.7
45403500,-0.63,11.91,150.8,27.46,426.8,452.6,70.5
45405000,-0.62,11.91,149.0,27.87,428.0,453.1,70.8
45406500,-0.63,11.91,150.6,27.51,426.9,452.7,70.6
45408000,-0.63,11.83,151.2,27.75,429.8,455.7,70.6
45409500,-0.62,11.85,150.5,27.82,429.5,455.2,70.7
