Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
45000000,-0.48,13.28,97.2,36.45,406.7,418.1,76.6
45001500,-0.48,13.28,97.3,36.37,406.4,417.9,76.5
45003000,-0.47,13.32,96.2,36.65,405.9,417.1,76.7
45004500,-0.47,13.29,96.5,36.69,406.7,418.0,76.6
45006000,-0.48,13.30,96.9,36.44,406.0,417.4,76.6
45007500,-0.48,13.29,97.1,36.41,406.2,417.6,76.6
45009000,-0.48,13.28,97.4,36.41,406.7,418.2,76.5
45010500,-0.48,13.27,97.4,36.46,407.0,418.5,76.5
45012000,-0.48,13.24,97.6,36.50,407.8,419.3,76.5
45013500,-0.47,13.29,96.8,36.59,406.6,417.9,76.6
45015000,-0.48,13.26,97.2,36.57,407.4,418.8,76.6
45016500,-0.47,13.22,96.9,36.92,408.8,420.2,76.7
45018000,-0.47,13.27,96.5,36.78,407.2,418.4,76.7
45019500,-0.48,13.25,97.4,36.52,407.5,419.0,76.6
45021000,-0.47,13.25,96.5,36.91,407.9,419.1,76.7
45022500,-0.48,13.22,98.0,36.42,408.1,419.7,76.5
45024000,-0.47,13.22,97.6,36.64,408.5,419.9,76.6
45025500,-0.48,13.23,97.7,36.54,408.2,419.8,76.5
45027000,-0.47,13.26,96.7,36.76,407.4,418.8,76.6
45028500,-0.48,13.26,98.8,35.89,406.3,418.2,76.3
45030000,-0.47,13.21,97.6,36.71,408.9,420.4,76.6
45031500,-0.48,13.22,97.9,36.52,408.4,420.0,76.5
45033000,-0.48,13.22,97.9,36.54,408.5,420.0,76.5
45034500,-0.48,13.22,97.8,36.54,408.4,420.0,76.5
45036000,-0.47,13.19,97.3,36.94,409.7,421.0,76.6
45037500,-0.48,13.16,98.6,36.55,410.0,421.7,76.5
45039000,-0.48,13.19,98.4,36.51,409.3,421.0,76.5
45040500,-0.48,13.20,98.3,36.44,408.8,420.5,76.5
45042000,-0.48,13.21,98.2,36.42,408.4,420.1,76.5
45043500,-0.47,13.19,97.7,36.76,409.5,421.0,76.6
45045000,-0.48,13.17,98.5,36.55,409.8,421.4,76.5
45046500,-0.47,13.15,98.6,36.59,410.3,421.9,76.5
45048000,-0.47,13.17,97.8,36.86,410.3,421.8,76.6
45049500,-0.47,13.14,97.7,37.01,411.0,422.5,76.6
45051000,-0.47,13.19,98.0,36.64,409.4,420.9,76.5
45052500,-0.47,13.16,98.2,36.75,410.4,422.0,76.5
45054000,-0.47,13.13,98.9,36.64,411.0,422.8,76.5
45055500,-0.47,13.13,98.9,36.61,411.0,422.8,76.5
45057000,-0.47,13.14,98.3,36.79,410.8,422.4,76.5
45058500,-0.48,13.15,99.3,36.34,410.1,421.9,76.4
45060000,-0.47,13.12,98.3,36.95,411.8,423.4,76.6
45061500,-0.48,13.09,99.8,36.49,412.1,424.0,76.4
45063000,-0.47,13.14,98.1,36.90,411.2,422.7,76.6
45064500,-0.47,13.12,97.8,37.14,411.9,423.3,76.6
45066000,-0.47,13.05,98.3,37.37,414.2,425.7,76.7
45067500,-0.47,13.12,97.5,37.27,412.1,423.4,76.7
45069000,-0.47,13.10,98.2,37.08,412.4,424.0,76.6
45070500,-0.47,13.08,98.8,36.96,412.8,424.5,76.5
45072000,-0.47,13.09,98.7,36.98,412.7,424.3,76.6
45073500,-0.47,13.08,99.2,36.76,412.5,424.3,76.5
45075000,-0.47,13.09,99.1,36.78,412.3,424.1,76.5
45076500,-0.47,13.08,99.2,36.76,412.5,424.2,76.5
45078000,-0.48,13.05,100.4,36.49,413.2,425.2,76.3
45079500,-0.48,13.05,100.4,36.49,413.2,425.2,76.3
45081000,-0.48,13.07,100.2,36.42,412.5,424.5,76.3
45082500,-0.47,13.08,99.1,36.82,412.6,424.3,76.5
45084000,-0.47,13.03,99.3,37.04,414.3,426.0,76.5
45085500,-0.47,13.02,100.4,36.66,414.3,426.3,76.4
45087000,-0.47,13.01,99.2,37.16,414.9,426.6,76.6
45088500,-0.47,13.03,99.8,36.84,414.2,426.0,76.5
45090000,-0.47,13.04,100.0,36.72,413.8,425.7,76.4
45091500,-0.47,13.04,99.9,36.75,413.7,425.6,76.4
45093000,-0.47,13.00,100.0,36.97,415.2,427.1,76.5
45094500,-0.47,13.02,99.9,36.84,414.3,426.2,76.4
45096000,-0.47,13.01,100.3,36.74,414.5,426.5,76.4
45097500,-0.47,13.00,100.6,36.66,414.7,426.8,76.4
45099000,-0.47,13.00,99.7,37.05,415.3,427.1,76.5
45100500,-0.47,13.02,99.5,37.01,414.6,426.4,76.5
45102000,-0.47,13.01,100.4,36.73,414.6,426.6,76.4
45103500,-0.47,12.99,99.6,37.14,415.6,427.4,76.5
45105000,-0.47,12.97,99.9,37.17,416.3,428.1,76.5
45106500,-0.47,12.95,101.0,36.80,416.2,428.3,76.4
45108000,-0.46,13.00,98.9,37.39,415.6,427.2,76.6
45109500,-0.46,12.95,99.2,37.61,417.5,429.1,76.6
45111000,-0.47,12.96,100.4,37.00,416.3,428.2,76.4
45112500,-0.47,12.93,101.0,36.94,417.1,429.2,76.4
45114000,-0.47,12.94,100.3,37.16,417.1,429.0,76.5
45115500,-0.47,12.92,101.1,36.96,417.4,429.4,76.4
45117000,-0.47,12.98,100.3,36.92,415.7,427.6,76.4
45118500,-0.46,12.95,99.7,37.38,417.1,428.8,76.6
45120000,-0.47,12.93,100.4,37.16,417.3,429.2,76.5
45121500,-0.47,12.95,100.0,37.22,416.8,428.7,76.5
45123000,-0.47,12.97,100.8,36.78,415.8,427.8,76.4
45124500,-0.46,12.91,100.2,37.37,418.1,430.0,76.5
45126000,-0.47,12.91,100.8,37.15,417.9,429.9,76.4
45127500,-0.47,12.90,100.5,37.31,418.4,430.3,76.5
45129000,-0.47,12.90,100.5,37.32,418.4,430.3,76.5
45130500,-0.47,12.88,101.5,37.03,418.7,430.9,76.4
45132000,-0.47,12.91,101.7,36.77,417.5,429.7,76.3
45133500,-0.47,12.93,101.0,36.93,417.1,429.2,76.4
45135000,-0.47,12.90,100.6,37.29,418.4,430.4,76.5
45136500,-0.47,12.86,102.1,36.93,419.2,431.5,76.3
45138000,-0.46,12.90,99.9,37.58,418.7,430.5,76.6
45139500,-0.47,12.87,101.4,37.13,419.0,431.1,76.4
45141000,-0.46,12.87,100.8,37.39,419.5,431.4,76.5
45142500,-0.47,12.92,100.4,37.22,417.7,429.6,76.5
45144000,-0.47,12.89,101.0,37.21,418.7,430.7,76.4
45145500,-0.47,12.85,101.3,37.29,419.8,431.8,76.4
45147000,-0.46,12.88,100.7,37.38,419.2,431.2,76.5
45148500,-0.47,12.81,102.2,37.17,421.0,433.2,76.3
45150000,-0.47,12.84,101.7,37.21,420.1,432.2,76.4
45151500,-0.47,12.84,101.5,37.29,420.2,432.2,76.4
45153000,-0.47,12.86,101.4,37.20,419.4,431.4,76.4
45154500,-0.47,12.82,102.5,37.03,420.6,432.9,76.3
45156000,-0.46,12.84,101.3,37.37,420.3,432.3,76.4
45157500,-0.47,12.84,101.8,37.16,420.0,432.1,76.4
45159000,-0.47,12.79,102.2,37.27,421.5,433.7,76.4
45160500,-0.46,12.82,101.4,37.45,420.9,433.0,76.5
45162000,-0.47,12.80,102.3,37.22,421.3,433.5,76.4
45163500,-0.47,12.78,102.4,37.30,422.0,434.3,76.4
45165000,-0.47,12.80,102.0,37.35,421.5,433.6,76.4
45166500,-0.47,12.80,103.1,36.88,420.9,433.4,76.2
45168000,-0.46,12.77,102.1,37.50,422.6,434.7,76.4
45169500,-0.47,12.80,102.6,37.09,421.2,433.5,76.3
45171000,-0.46,12.78,102.0,37.41,422.0,434.2,76.4
45172500,-0.47,12.79,102.3,37.24,421.5,433.7,76.4
45174000,-0.47,12.78,102.7,37.17,421.9,434.2,76.3
45175500,-0.46,12.77,101.7,37.65,422.7,434.7,76.5
45177000,-0.47,12.77,102.6,37.23,422.1,434.4,76.3
45178500,-0.46,12.81,101.3,37.57,421.4,433.4,76.5
45180000,-0.46,12.75,102.0,37.61,423.2,435.3,76.4
45181500,-0.46,12.73,102.7,37.47,423.6,435.9,76.4
45183000,-0.46,12.75,102.2,37.54,423.0,435.2,76.4
45184500,-0.47,12.76,103.7,36.90,422.1,434.6,76.2
45186000,-0.46,12.75,102.6,37.40,423.0,435.3,76.4
45187500,-0.46,12.74,101.9,37.73,423.7,435.8,76.5
45189000,-0.47,12.72,103.6,37.16,423.5,436.0,76.3
45190500,-0.47,12.73,103.2,37.29,423.5,435.9,76.3
45192000,-0.46,12.74,102.3,37.55,423.4,435.6,76.4
45193500,-0.46,12.72,102.4,37.63,424.1,436.3,76.4
45195000,-0.46,12.74,102.7,37.40,423.3,435.6,76.4
45196500,-0.46,12.71,102.9,37.51,424.2,436.5,76.4
45198000,-0.47,12.73,103.6,37.07,423.0,435.5,76.2
45199500,-0.46,12.71,103.1,37.43,424.2,436.5,76.3
45201000,-0.46,12.68,103.6,37.42,425.1,437.6,76.3
45202500,-0.47,12.68,104.2,37.15,424.7,437.2,76.2
45204000,-0.47,12.69,103.9,37.21,424.4,437.0,76.2
45205500,-0.46,12.68,102.4,37.91,425.8,437.9,76.5
45207000,-0.46,12.70,103.2,37.48,424.7,437.0,76.3
45208500,-0.47,12.68,103.8,37.36,425.1,437.6,76.3
45210000,-0.46,12.66,102.5,37.96,426.3,438.5,76.5
45211500,-0.47,12.67,104.6,37.09,425.1,437.8,76.2
