Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
45000000,-0.21,11.14,62.2,84.02,505.0,508.8,83.0
45001500,-0.21,11.06,64.1,82.63,508.3,512.3,82.8
45003000,-0.21,11.08,63.5,83.18,507.4,511.4,82.9
45004500,-0.21,11.10,63.9,82.29,506.4,510.4,82.8
45006000,-0.21,11.08,62.9,83.90,507.6,511.5,82.9
45007500,-0.21,11.11,62.8,83.71,506.3,510.2,82.9
45009000,-0.20,11.05,62.2,85.53,509.6,513.3,83.0
45010500,-0.21,11.06,63.2,83.90,508.6,512.5,82.9
45012000,-0.20,11.07,62.0,85.48,508.5,512.2,83.1
45013500,-0.20,11.06,62.6,84.78,508.8,512.6,83.0
45015000,-0.21,11.04,64.4,82.47,509.1,513.1,82.8
45016500,-0.20,11.01,62.1,86.36,511.5,515.3,83.1
45018000,-0.21,11.05,64.1,82.95,509.1,513.2,82.8
45019500,-0.21,11.05,64.2,82.70,508.9,512.9,82.8
45021000,-0.21,11.07,64.3,82.30,508.1,512.2,82.8
45022500,-0.20,11.05,61.9,85.94,509.5,513.2,83.1
45024000,-0.21,11.02,64.7,82.62,510.4,514.5,82.8
45025500,-0.21,10.99,64.3,83.44,511.6,515.6,82.8
45027000,-0.21,11.04,65.2,81.61,509.3,513.5,82.7
45028500,-0.21,11.02,63.7,83.85,510.3,514.3,82.9
45030000,-0.21,11.00,64.9,82.59,511.0,515.1,82.8
45031500,-0.21,11.01,63.6,84.00,510.7,514.7,82.9
45033000,-0.21,10.99,64.8,82.83,511.5,515.6,82.8
45034500,-0.21,11.02,64.0,83.52,510.6,514.6,82.9
45036000,-0.21,11.01,63.3,84.57,510.9,514.8,82.9
45037500,-0.20,10.97,63.2,85.29,512.9,516.8,83.0
45039000,-0.20,10.98,63.2,85.14,512.5,516.4,83.0
45040500,-0.21,10.99,64.1,83.78,511.7,515.7,82.9
45042000,-0.21,10.96,64.3,83.90,513.1,517.1,82.9
45043500,-0.21,10.99,66.0,81.33,511.5,515.7,82.6
45045000,-0.20,10.96,62.5,86.47,513.7,517.5,83.1
45046500,-0.20,10.95,63.4,85.45,514.0,517.9,83.0
45048000,-0.20,10.97,63.3,85.23,513.1,517.0,83.0
45049500,-0.20,10.95,62.8,86.28,514.1,517.9,83.0
45051000,-0.21,10.94,64.4,84.15,514.3,518.3,82.9
45052500,-0.20,10.96,63.3,85.30,513.4,517.3,83.0
45054000,-0.20,10.97,63.5,84.91,513.0,516.9,82.9
45055500,-0.20,10.97,62.4,86.55,513.4,517.2,83.1
45057000,-0.20,10.94,63.7,85.07,514.4,518.3,82.9
45058500,-0.21,10.92,64.7,83.97,514.8,518.9,82.8
45060000,-0.20,10.93,63.4,85.62,514.9,518.8,83.0
45061500,-0.20,10.93,62.6,86.75,515.1,518.9,83.1
45063000,-0.20,10.95,62.6,86.52,514.2,518.0,83.1
45064500,-0.20,10.89,64.5,84.84,516.6,520.6,82.9
45066000,-0.20,10.90,63.4,86.15,516.4,520.3,83.0
45067500,-0.21,10.87,65.6,83.58,517.1,521.2,82.8
45069000,-0.21,10.84,65.7,83.97,518.7,522.8,82.8
45070500,-0.21,10.89,65.4,83.60,516.2,520.3,82.8
45072000,-0.20,10.91,62.2,87.77,516.4,520.1,83.1
45073500,-0.20,10.88,62.3,88.05,517.5,521.2,83.1
45075000,-0.20,10.91,64.2,84.93,515.8,519.8,82.9
45076500,-0.20,10.89,64.5,84.81,516.6,520.6,82.9
45078000,-0.20,10.87,63.7,86.18,517.7,521.6,83.0
45079500,-0.21,10.85,65.1,84.53,518.3,522.4,82.8
45081000,-0.20,10.88,64.3,85.21,517.3,521.2,82.9
45082500,-0.21,10.85,65.0,84.62,518.2,522.3,82.8
45084000,-0.20,10.84,64.0,86.19,519.0,522.9,83.0
45085500,-0.20,10.83,63.8,86.71,519.9,523.8,83.0
45087000,-0.20,10.83,63.0,87.77,519.7,523.5,83.1
45088500,-0.20,10.80,64.0,86.87,521.0,525.0,83.0
45090000,-0.20,10.79,64.2,86.83,521.6,525.5,83.0
45091500,-0.20,10.84,63.0,87.67,519.4,523.2,83.1
45093000,-0.20,10.82,63.6,87.08,520.2,524.0,83.0
45094500,-0.20,10.82,63.3,87.54,520.1,523.9,83.1
