Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
45000000,-0.36,10.87,110.4,48.17,501.3,513.3,77.6
45001500,-0.36,10.86,110.7,48.14,501.8,513.9,77.6
45003000,-0.36,10.86,111.5,47.79,501.6,513.9,77.5
45004500,-0.36,10.84,109.9,48.67,503.1,514.9,77.7
45006000,-0.36,10.84,109.5,48.90,503.4,515.2,77.7
45007500,-0.36,10.82,111.3,48.28,503.8,516.0,77.5
45009000,-0.36,10.85,110.5,48.37,502.6,514.6,77.6
45010500,-0.36,10.82,110.2,48.76,504.1,516.0,77.7
45012000,-0.36,10.83,109.7,48.94,503.9,515.7,77.7
45013500,-0.36,10.82,110.7,48.49,503.8,515.8,77.6
45015000,-0.36,10.80,110.2,48.93,505.1,517.0,77.7
45016500,-0.35,10.82,109.1,49.24,504.3,516.0,77.8
45018000,-0.35,10.82,109.3,49.21,504.6,516.3,77.8
45019500,-0.36,10.82,110.1,48.78,504.0,515.9,77.7
45021000,-0.35,10.79,109.0,49.67,506.4,517.9,77.9
45022500,-0.36,10.78,111.2,48.62,505.6,517.7,77.6
45024000,-0.35,10.80,109.9,49.12,505.4,517.2,77.7
45025500,-0.35,10.78,110.0,49.22,506.2,518.0,77.7
45027000,-0.35,10.77,109.8,49.46,507.1,518.9,77.8
45028500,-0.35,10.79,109.7,49.22,505.6,517.4,77.8
45030000,-0.35,10.78,110.2,49.11,506.1,518.0,77.7
45031500,-0.35,10.73,111.2,49.08,508.1,520.1,77.7
45033000,-0.35,10.78,110.2,49.14,506.3,518.2,77.7
45034500,-0.36,10.76,111.5,48.70,506.7,518.8,77.6
45036000,-0.35,10.75,110.1,49.52,507.9,519.7,77.8
45037500,-0.35,10.77,109.3,49.72,507.3,518.9,77.8
45039000,-0.35,10.73,109.1,50.14,509.0,520.6,77.9
45040500,-0.36,10.74,111.5,48.88,507.5,519.6,77.6
45042000,-0.36,10.74,111.8,48.77,507.7,519.9,77.6
45043500,-0.35,10.73,110.4,49.47,508.5,520.4,77.7
45045000,-0.35,10.69,111.5,49.42,510.6,522.6,77.7
45046500,-0.35,10.76,109.9,49.50,507.5,519.2,77.8
45048000,-0.35,10.74,110.7,49.26,507.8,519.7,77.7
45049500,-0.35,10.68,110.5,49.94,511.3,523.1,77.8
45051000,-0.35,10.73,109.5,49.96,509.0,520.7,77.9
45052500,-0.35,10.68,109.9,50.25,511.5,523.2,77.9
45054000,-0.35,10.70,111.7,49.20,509.8,521.9,77.6
45055500,-0.36,10.70,112.4,48.86,509.4,521.6,77.6
45057000,-0.35,10.66,111.5,49.60,511.7,523.7,77.7
45058500,-0.35,10.68,110.7,49.84,511.1,522.9,77.8
45060000,-0.35,10.65,112.3,49.38,512.2,524.4,77.6
45061500,-0.35,10.68,110.8,49.79,511.2,523.0,77.8
45063000,-0.35,10.71,109.8,50.05,510.2,521.9,77.9
45064500,-0.35,10.68,111.8,49.34,510.8,522.9,77.7
45066000,-0.35,10.67,112.4,49.14,510.9,523.1,77.6
45067500,-0.35,10.66,111.2,49.83,512.2,524.1,77.7
45069000,-0.34,10.64,110.1,50.57,513.7,525.4,77.9
45070500,-0.35,10.65,111.4,49.78,512.2,524.2,77.7
45072000,-0.35,10.64,112.1,49.55,512.5,524.6,77.7
45073500,-0.35,10.62,112.0,49.77,513.7,525.7,77.7
45075000,-0.35,10.62,111.6,50.00,513.9,525.9,77.8
45076500,-0.35,10.65,110.7,50.18,513.0,524.8,77.8
45078000,-0.35,10.61,112.4,49.65,513.9,526.0,77.7
45079500,-0.35,10.62,112.8,49.45,513.5,525.8,77.6
45081000,-0.35,10.60,112.7,49.62,514.4,526.6,77.6
45082500,-0.35,10.61,112.7,49.59,514.2,526.4,77.6
45084000,-0.34,10.61,110.8,50.51,515.0,526.8,77.9
